STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
071560,99999, 20160321,   46.4,24,   35.1,24, 1021.2,24, 1011.7,24,  10.9,24,   7.0,24,  11.1, 999.9,   51.3 ,  40.6 , 0.00G,999.9, 000000,
071560,99999, 20160322,   49.2,23,   33.4,23, 1016.0,23, 1006.5,23,  10.8,23,   6.4,23,   9.9, 999.9,   56.5 ,  44.1 , 0.00G,999.9, 000000,
071560,99999, 20160323,   47.9,14,   35.9,14, 1015.5,14, 1006.0,14,  10.8,14,   7.5,14,   9.9, 999.9,   52.2 ,  40.3 , 0.00G,999.9, 000000,
071560,99999, 20160324,   48.7,24,   34.5,24, 1017.1,24, 1007.6,24,   8.4,24,   4.3,24,   6.0, 999.9,   52.0 ,  45.5 , 0.00G,999.9, 000000,
071560,99999, 20160325,   50.1,24,   43.5,24, 1016.3,24, 1006.8,24,   8.7,24,   5.0,24,   7.0, 999.9,   59.2 ,  45.0 , 0.08G,999.9, 010000,
071560,99999, 20160326,   52.5,24,   45.0,24, 1013.0,24, 1003.7,24,  10.5,24,   7.9,24,  13.0, 999.9,   59.2 ,  45.1 , 0.06G,999.9, 010000,
071560,99999, 20160327,   49.7,24,   40.7,24, 1009.3,24,  999.8,24,  12.0,24,   8.9,24,  14.0, 999.9,   59.0 ,  44.1 , 0.41G,999.9, 010000,
071560,99999, 20160328,   51.1,24,   40.2,24, 1000.8,24,  991.5,24,  11.9,24,  12.3,24,  19.0, 999.9,   59.5 ,  44.1 , 0.10G,999.9, 010000,
071560,99999, 20160329,   49.9,24,   41.5,24, 1009.9,24, 1000.5,24,  12.2,24,   7.1,24,  11.1, 999.9,   58.8 ,  42.6 , 0.37G,999.9, 000000,
071560,99999, 20160330,   48.1,24,   42.4,24, 1011.6,24, 1002.2,24,  11.0,24,   4.0,24,   8.0, 999.9,   53.4 ,  45.5*, 0.15G,999.9, 010000,
071560,99999, 20160331,   44.2,24,   40.5,24, 1011.9,24, 1002.4,24,   8.6,24,  10.0,24,  13.0, 999.9,   46.0 ,  43.0 , 0.34G,999.9, 010000,
071560,99999, 20160401,   46.7,24,   37.4,24, 1020.1,24, 1010.5,24,   7.5,24,   5.0,24,   8.0, 999.9,   55.0 ,  41.7 , 0.72G,999.9, 000000,
071560,99999, 20160402,   45.2,19,   40.2,19, 1015.0,19, 1005.4,19,   7.3,19,   3.5,19,   7.0, 999.9,   51.6*,  39.0 , 0.00G,999.9, 010000,
071560,99999, 20160403,   58.9,24,   48.4,24, 1007.4,24,  998.1,24,   9.1,24,   5.6,24,   8.9, 999.9,   70.7 ,  48.9 , 0.13G,999.9, 010000,
071560,99999, 20160404,   55.5,24,   44.0,24, 1005.8,24,  996.5,24,  12.3,24,   5.8,24,   9.9, 999.9,   64.2 ,  49.5 , 0.12G,999.9, 010000,
071560,99999, 20160405,   55.0,24,   43.0,24, 1009.5,24, 1000.2,24,  12.4,24,   4.2,24,   8.9, 999.9,   63.1 ,  50.9 , 0.02G,999.9, 000000,
071560,99999, 20160406,   51.6,24,   41.1,24, 1014.0,24, 1004.6,24,  12.1,24,   7.1,24,  12.0, 999.9,   59.5 ,  47.1 , 0.00G,999.9, 010000,
071560,99999, 20160407,   47.4,23,   35.8,23, 1013.8,23, 1004.3,23,  12.4,23,   6.0,23,   9.9, 999.9,   54.0 ,  42.3 , 0.07G,999.9, 000000,
071560,99999, 20160408,   49.3,24,   38.3,24, 1013.1,24, 1003.6,24,  12.3,24,   4.2,24,   7.0, 999.9,   57.0 ,  44.6 , 0.12G,999.9, 000000,
071560,99999, 20160409,   47.9,24,   39.5,24, 1008.0,24,  998.5,24,  12.0,24,   5.5,24,  11.1, 999.9,   57.0 ,  40.8 , 0.00G,999.9, 010000,
071560,99999, 20160410,   52.9,24,   40.5,24, 1006.9,24,  997.5,24,  11.0,24,   6.4,24,  11.1, 999.9,   64.8 ,  39.2 , 0.08G,999.9, 000000,
071560,99999, 20160411,   53.4,24,   44.7,24, 1006.6,24,  997.3,24,  11.0,24,   5.2,24,   8.9, 999.9,   62.2 ,  47.5*, 0.00G,999.9, 010000,
071560,99999, 20160412,   52.6,23,   43.9,23, 1008.7,23,  999.4,23,  11.8,23,   4.3,23,   8.0, 999.9,   63.1 ,  42.6 , 0.14G,999.9, 000000,
